,Unnamed: 0,created_at,screen_name,text,slot,document_topic
23,24,2019-03-25 15:32:37,chrisbrogan,     Are you up to speed on what your kids are watching and into Thoughts on that                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,83,3
24,25,2019-03-25 12:39:32,chrisbrogan,     LPearmanPhotos  still laughing aout our little event this many days later                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,83,2
25,26,2019-03-25 12:38:48,chrisbrogan,     johnhaydon Oh Ill check it out Thank you                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,7,2
26,27,2019-03-25 04:37:16,chrisbrogan,     The average human reads  minutes a day that includes emails and texts chrisrogan SMMW While that impacts content marketers it really impacts humanity much more                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,184,8
27,28,2019-03-25 23:44:33,alyssa_milano,     milogestulog Tears                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,181,5
28,29,2019-03-25 23:09:09,alyssa_milano,     RT elonmusk DylanSheaMusic Please consider this a commitment that I will fund fixing the water in any house in Flint that has water cont                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,179,4
29,30,2019-03-25 22:55:26,alyssa_milano,     DHS spends m of taxpayer money per day to run each detention centerA tiny amount is spent on interpreters T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,179,5
30,31,2019-03-25 22:53:20,alyssa_milano,     RT GAIndivisile THIS WEDNESDAY Protect Reproductive Rights COMMIT TO CHOICE MARCH TO ARCH protesting HB  PM   PM at the UG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,162,5
31,32,2019-03-25 20:24:06,alyssa_milano,     MeistroMax Followed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,157,2
32,33,2019-03-25 19:55:05,alyssa_milano,     Jesus No California mosque arson investigated as hate crime linked to New Zealand shootings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,157,10
33,34,2019-03-25 19:52:37,alyssa_milano,     RepAndyLevin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,157,6
34,35,2019-03-25 19:52:28,alyssa_milano,     RT RepAndyLevin As a memer of the Equality Caucus I am proud to hang the transgender pride flag outside of my DC office during TransVi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,157,6
35,36,2019-03-25 19:40:13,alyssa_milano,     RT ACLUVA We really really  really    really       really    really  really really  really   really     really     really                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,148,5
