,Unnamed: 0,created_at,screen_name,text,slot,document_topic
183,184,2019-03-25 11:02:25,TomHall,    precision                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,70,7
184,185,2019-03-25 11:01:00,TomHall,    Lol i dont get it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,66,8
185,186,2019-03-25 09:58:16,TomHall,    Once a Mom Always a mother mothers love is unconditional                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,60,1
186,187,2019-03-25 10:00:07,TomHall,    Happy mom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,60,2
187,188,2019-03-25 10:05:22,TomHall,    Mawwwwmmmm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,64,7
188,189,2019-03-25 10:07:08,TomHall,    Truly amazing ut so is the camera man                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,64,9
189,190,2019-03-25 07:01:14,TomHall,    Pakistan Flights suspended roads on lockdown following alleged firing explosion near Multan Airport                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,31,2
190,191,2019-03-25 05:02:39,TomHall,    Defeat Narendra Modi else he will e PM forever Delhi Chief Minister Arvind Kejriwal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,10,5
191,192,2019-03-25 09:03:12,TomHall,    Both are enjoying the time together                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,49,9
192,193,2019-03-25 09:04:30,TomHall,    A moms life is a wonderful life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,49,8
193,194,2019-03-25 09:05:18,TomHall,    Hey Tom I thought it was A Wonderful Life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,49,6
194,195,2019-03-25 09:07:40,TomHall,    Adorale                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,49,7
195,196,2019-03-25 09:10:42,TomHall,    Mrs HallTom if I told you once I told you a hundred times Get off my ack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,49,9
196,197,2019-03-25 09:11:19,TomHall,    Happy mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,49,8
197,198,2019-03-25 09:11:50,TomHall,    You have NO idea                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,49,1
198,199,2019-03-25 09:12:24,TomHall,    They are so much more patient than human mothers I think But then  they arent trying to reak a glass ceiling at work in addition to taking care of their kids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,49,8
199,200,2019-03-25 09:12:58,TomHall,    Cant eat without them Take a ath without them Go potty without them But well die for the little dears A mom is a mom Period                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,49,2
200,201,2019-03-25 09:13:12,TomHall,    Wow nice  everyone please cheers to Tom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,49,6
201,202,2019-03-25 09:13:45,TomHall,    Ohhh yeah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,49,7
202,203,2019-03-25 08:10:10,TomHall,    Woo Hoo Yalsa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38,7
203,204,2019-03-25 07:12:10,TomHall,    Worse still perhaps he did see the movie and just didnt elieve the science I hear thats a thing                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,31,7
204,205,2019-03-25 07:13:18,TomHall,    LOLOLmy fav Christmas flick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,31,4
205,206,2019-03-25 07:13:47,TomHall,    stuck Stuck STUUCKK Oh Ralphie dont leave me please PLEASE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,31,9
206,207,2019-03-25 07:14:09,TomHall,    smart lol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,31,5
207,208,2019-03-25 07:15:00,TomHall,    just imagine no one home  what will happen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,25,9
208,209,2019-03-25 07:15:23,TomHall,    As efore on a numer of occasions I think of Darwin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,31,6
209,210,2019-03-25 07:15:55,TomHall,    He is literally speaking in tongues                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,31,4
210,211,2019-03-25 07:16:03,TomHall,    Stupid  He is dude                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,31,7
211,212,2019-03-25 07:16:18,TomHall,    Ups                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,31,7
212,213,2019-03-25 07:17:00,TomHall,    Tom is he retarded                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,25,6
213,214,2019-03-25 07:17:27,TomHall,    Lmao Serves him right                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,31,5
214,215,2019-03-25 07:18:13,TomHall,    Yeah Girl Apparently hes from Missouri Girl GotToBeShowed YeahGirl SistaSpeaks BeardieLife ShowMe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,31,7
215,216,2019-03-25 07:18:18,TomHall,    Best laugh I had todaythanks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,31,10
216,217,2019-03-25 07:19:02,TomHall,    You would think                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,31,8
217,218,2019-03-25 05:20:17,TomHall,    Sold out show at this eautiful theatre tonight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,10,9
