created_at,screen_name,text
2019-03-25 18:20:33,alyssa_milano,b'RT @PiperPerabo: #HB481 warning \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\nIs up for a vote TODAY! #Georgia #GA call your state legislators (find their name and \xe2\x98\x8e\xef\xb8\x8f here https://\xe2\x80\xa6'
2019-03-25 18:19:36,alyssa_milano,"b""The war in Yemen started 4 years ago today, and now it's the world's worst humanitarian crisis.\nUS bombs and missil\xe2\x80\xa6 https://t.co/kmQ4SzFibi"""
2019-03-25 18:12:06,alyssa_milano,"b'RT @iamwaleisah: @Alyssa_Milano every actor, ball player &amp; musician ought to stop performing, singing &amp; filming here in GA because if it is\xe2\x80\xa6'"
2019-03-25 18:10:47,alyssa_milano,"b'@kbonte1021 Happy Birthday, husband!'"
2019-03-25 18:02:54,alyssa_milano,b'@AtlantaMarch And an abortion ban will hurt millions of women in Georgia who live there who can\xe2\x80\x99t afford to travel\xe2\x80\xa6 https://t.co/8T2myE9COW'
2019-03-25 17:53:31,alyssa_milano,b'RT @NoRA4USA: We are heartbroken by the deaths by suicide of survivors of gun violence. Our hearts are with their loved ones.\n\nWe will not\xe2\x80\xa6'
2019-03-25 17:42:31,alyssa_milano,"b'@AtlantaMarch If there are no repercussions for hurtful policy, how will we fight oppression? I work in Georgia. I\xe2\x80\x99\xe2\x80\xa6 https://t.co/WcK3uYaadv'"
2019-03-25 17:39:50,alyssa_milano,b'RT @ilyseh: Brian Kemp could sign #HB481 in the next 24 hours effectively banning abortion in the state of #Georgia. This bill makes women\xe2\x80\xa6'
2019-03-25 17:30:54,alyssa_milano,"b'RT @laurenduca: Not to be controversial, but I wrote a book. It\xe2\x80\x99s called \xe2\x80\x9cHow to Start a Revolution: Young People and the Future of America\xe2\x80\xa6'"
2019-03-25 17:29:32,alyssa_milano,b'Donated. https://t.co/H3heQnBvr6'
2019-03-25 17:28:39,alyssa_milano,b'RT @RepCohen: Barr didn\xe2\x80\x99t make his decision on obstruction after reading the #MuellerReport
2019-03-25 17:28:03,alyssa_milano,"b'RT @DebraMessing: The Mueller Investigation was NOT a witch-hunt, a waste of time, a fishing expedition. It revealed very important and ser\xe2\x80\xa6'"
2019-03-25 17:26:42,alyssa_milano,b'@pacelattin Thank you.'
2019-03-25 17:17:15,alyssa_milano,b'RT @Tom_Winter: BREAKING NEWS: Michael Avenatti has been arrested and charged for attempting to extract more than $20 million in payments f\xe2\x80\xa6'
2019-03-25 06:37:38,alyssa_milano,b'A beautiful thread from an amazing father. https://t.co/FRibPXeZUE'
2019-03-25 03:46:16,alyssa_milano,Self care.Red velvet with cream cheese frosting.
2019-03-25 00:03:05,alyssa_milano,"Until Warren’s obvious intelligence is seen as an asset (a la Buttigeig learning Norwegian) and not a school marm unrelatable liability, I’m not going to shut up about the double standard."
2019-03-25 02:48:45,alyssa_milano,Every American deserves to know how our country was attacked and how our leaders responded. Only then can we restore our collective confidence in our system.
2019-03-25 03:49:20,alyssa_milano,"Maybe Barr’s interpretation is right. Maybe it’s not. But why the heck would we be ok with an ally of President, appointed because of his hostility to the Mueller investigation, tell us what the report says? Give Congress the report. Give the public the report. Now."
2019-03-25 03:50:40,alyssa_milano,"For each day that Congress fails to renew funding for Puerto Rico’s food stamp program, one million families who have had their benefits cut will struggle to put food on the table. Our fellow Americans deserve a just recovery which includes immediate funding for the NAP program."
2019-03-25 03:51:04,alyssa_milano,"No collusion. Soooooo....why did #Trump spend an hour with #Putin with no American in the room?? 26 Russians agents deported from US...but....no collusion...Ok. As they say in LA, suck it up and VOTE BLUE in 2020!!"
