created_at,screen_name,text,slot,document_topic
2019-03-25 05:19:51,jeanettejoy,     BryantCPA BI_Forensic_CPA marshawright GiGiBclu BararaLoraineN SharedMotivati JWPowerYourLife                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,12,1
2019-03-25 05:19:15,jeanettejoy,     In the midst of happiness or despair in sorrow or in joy in pleasure or in pain Do what is right and you will e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,12,5
2019-03-25 05:17:59,jeanettejoy,     Gary_ARSC CarmenAcai LavaletteAstrid spendharkar OneCaringHeart BethFratesMD AuthorMBTosi ADevotedYogi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,12,10
2019-03-25 05:16:29,jeanettejoy,     eldialo Im going through another Rumi phase Everything is in the flow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,12,3
2019-03-25 05:15:48,jeanettejoy,     eldialo I have a ad kitty Shes jealous of all these good cats                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,12,10
2019-03-25 05:15:04,jeanettejoy,    eldialo Thank you eldialo Thats so nice for you to say                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,12,6
2019-03-25 05:09:54,jeanettejoy,    loveGoldenHeart earthles GiGiBclu KariJoys malekaly PoloOrtiz BethFratesMD CheruNation BayGo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,12,5
2019-03-25 05:02:26,jeanettejoy,    TietanTerrier YES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,12,7
2019-03-25 05:02:13,jeanettejoy,    JoyPulicity JoyPulications Twas love whose finger traced aloud   A ow of promise on the cloud        Ma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,12,8
2019-03-25 05:01:59,jeanettejoy,    RT GiGiBclu OFF TO THE PUBLISHER FamilyTRAIN JoyTrain StarfishClu GoldenHearts coachmekat _and_s_designs JaniceKoelsky Prachi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,12,1
2019-03-25 05:01:14,jeanettejoy,    limit_nishiyama Its all what you elieve it to e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,12,7
