created_at,screen_name,text,slot,document_topic
2019-03-25 09:00:06,sagarsamy,    Check out the entrance of Bahria Town Karachi Now residents can happily n legally live into BTK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,48,3
2019-03-25 17:17:02,sagarsamy,    RT ARYNEWSOFFICIAL Director General InterService Pulic Relations ISPR Major Gen Asif Ghafoor has ruled out the possiility a nuclear                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,48,9
2019-03-25 09:03:12,TomHall,    Both are enjoying the time together                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,49,9
2019-03-25 09:04:30,TomHall,    A moms life is a wonderful life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,49,8
2019-03-25 09:05:18,TomHall,    Hey Tom I thought it was A Wonderful Life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,49,6
2019-03-25 09:07:40,TomHall,    Adorale                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,49,7
2019-03-25 09:10:42,TomHall,    Mrs HallTom if I told you once I told you a hundred times Get off my ack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,49,9
2019-03-25 09:11:19,TomHall,    Happy mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,49,8
2019-03-25 09:11:50,TomHall,    You have NO idea                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,49,1
2019-03-25 09:12:24,TomHall,    They are so much more patient than human mothers I think But then  they arent trying to reak a glass ceiling at work in addition to taking care of their kids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,49,8
2019-03-25 09:12:58,TomHall,    Cant eat without them Take a ath without them Go potty without them But well die for the little dears A mom is a mom Period                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,49,2
2019-03-25 09:13:12,TomHall,    Wow nice  everyone please cheers to Tom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,49,6
2019-03-25 09:13:45,TomHall,    Ohhh yeah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,49,7
2019-03-25 01:00:56,bizzwriter,     Why treating every failure as an opportunity to learn is so important  personalgrowth                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,50,3
2019-03-25 09:05:01,jeanettejoy,    MAKE MAGIC  BAM FamilyTRAIN JoyTrain StarfishClu GoldenHearts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,51,1
2019-03-25 09:15:19,jeanettejoy,    Pretty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,51,7
2019-03-25 09:21:56,mollie_Apso1,    If you ever need a hand Im always up for a squizzer attack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,52,3
2019-03-25 09:22:23,mollie_Apso1,    thats exactly what we need pal youll e good at it and we will protect you for sure                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,52,8
2019-03-25 11:04:22,pradip103,    RT repulic WATCH Congress protests against ally JDS after HD Deve Gowda files nomination from Tumkur seatMayWithArna                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,53,4
2019-03-25 10:55:38,pradip103,    RT pradip Will Aam Admi Party and Congress Gathandhan have impact in Delhi  Watch Lalkar from Delhi  Elections                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,53,5
2019-03-25 09:23:56,pradip103,    RT pradip When I countered Mr Yogendra Yadavs falseselective reading of recent surveys he responded y saying that he does not do ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,53,8
2019-03-25 09:16:25,pradip103,    Though I have high regards for Dr Roys work on elections and Verdict I wonder how can someone e finest ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,53,3
2019-03-25 01:33:08,Caffeinefreak,    Wrap up my walk and hop in the car On the road out I ump into this guy Hes a gyrafalconprairie falcon mix His falconer was taking him out for a little exercise Thats one cool ird And as we were talking a peregrine flew over us Bird nerd stokedness level high                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,54,5
2019-03-25 02:53:10,alyssa_milano,     PS and also Alyssa_Milano who is THE real deal She uses her platform every day to speak truth to power  inspire young activists like my students                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,55,4
2019-03-25 02:20:10,bizzwriter,     RT iznwes White noise vs Pink noise Which sounds helps you concentrate and which makes you more creative  Idea to Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,56,1
2019-03-25 01:53:37,jade78052492,    garrigan Heartreak                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,57,7
2019-03-25 01:33:23,jade78052492,    murphy_iii Never                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,57,7
2019-03-25 01:24:25,jade78052492,    TuranedPatriot patsradycrazy gemcos ladydog kckittie PGar diegoarilo PrincessSMH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,57,7
2019-03-25 00:54:29,jade78052492,    patsradycrazy gemcos ladydog kckittie PGar TuranedPatriot diegoarilo PrincessSMH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,57,7
2019-03-25 00:51:12,jeanettejoy,    Always search for your innermost nature in those you are with as rose oil imies from roses RumiJoyPulicity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,58,8
2019-03-25 00:34:13,jeanettejoy,    Anything that makes weak  physically intellectually and spiritually reject it as poison Swami Vivekananda                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,58,8
2019-03-25 01:57:00,mollie_Apso1,    RT jcosrangerjason Current conditions on JeffcoTrails in Evergreen Colorado Visiility less than a quartermile with rapidly deteriorat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,59,1
2019-03-25 00:32:18,mollie_Apso1,    Maggarooo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,59,1
2019-03-25 09:58:16,TomHall,    Once a Mom Always a mother mothers love is unconditional                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,60,1
2019-03-25 10:00:07,TomHall,    Happy mom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,60,2
2019-03-25 14:15:58,jade78052492,    EugeneA We have ad weather on the way                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,61,10
